RoleID,RoleName
1,Food Bank Manager
2,Volunteer Coordinator
3,Inventory Specialist
4,Distribution Lead
5,Donation Manager
6,Driver
7,Warehouse Worker
8,Client Intake Specialist
9,Nutritionist
10,Community Outreach Coordinator
11,Data Entry Clerk
12,Grant Writer
13,Food Safety Officer
14,Social Worker
15,Administrative Assistant
16,Facilities Manager
17,Volunteer - Client Support
18,Volunteer - Warehouse
19,Volunteer - Driver
20,Volunteer - Kitchen Staff
21,Volunteer - Special Events
22,Volunteer - Gardening
23,Volunteer - Office Support
24,Development Officer
25,Public Relations Manager
26,Volunteer - Food Rescue
27,Volunteer - Sorting & Packing
28,Volunteer - Delivery
29,Volunteer - Childcare
30,Volunteer - Translator
31,Environmental Specialist
32,Developer III
33,Senior Quality Engineer
34,Chemical Engineer
35,Biostatistician I
36,Account Executive
37,Paralegal
38,Project Manager
39,Payment Adjustment Coordinator
40,Senior Quality Engineer
41,Senior Developer
42,Speech Pathologist
43,Account Representative II
44,Senior Financial Analyst
45,Technical Writer
46,Engineer III
47,Geologist I
48,Software Engineer I
49,Database Administrator II
50,Help Desk Technician
